epoch,loss
1,0.645424
2,0.596762
3,0.569047
4,0.563088
5,0.547799
6,0.527903
7,0.586873
8,0.590937
9,0.570682
10,0.537267
11,0.510411
12,0.495979
13,0.570930
14,0.659436
15,0.651207
16,0.623626
17,0.598897
18,0.595092
19,0.598968
20,0.601071
21,0.561662
22,0.551550
23,0.550845
24,0.541358
25,0.581668
26,0.547965
27,0.521389
28,0.607944
29,0.599980
30,0.561027
